Analysis_Type,Total_Posts,Positive_%,Negative_%,Neutral_%,Avg_Polarity,Avg_Upvotes
Dhaka-Focused Posts,188,44.148936170212764,4.25531914893617,51.59574468085106,0.1110207031842023,20.25
General Bangladesh Posts,306,14.705882352941178,4.901960784313726,80.3921568627451,0.048265542328042324,11.833333333333334
All Posts,494,43.92712550607287,7.08502024291498,48.987854251012145,0.10669707910850747,15.036437246963562
